gene,mean_coef,std_coef,pathway
CRIP3,-0.150255348039979,0.00300878363666721,Oxidative phosphorylation
KCTD9,-0.132992419300004,0.0124883932927234,Oxidative phosphorylation
ZNF285,-0.131998793200262,0.00530413752469221,Oxidative phosphorylation
EGR4,-0.130400669338484,0.00376464788095749,Oxidative phosphorylation
OTX1,-0.121641382001579,0.00111728200886453,Oxidative phosphorylation
ITGA3,-0.119901948509951,0.000315508606960719,Oxidative phosphorylation
TMEM161A,-0.119468222862026,0.0117730062678615,Oxidative phosphorylation
SHISAL2A,-0.103620002241526,0.0185187979533305,Oxidative phosphorylation
GNLY,-0.100713306888316,0.00586556470233382,Oxidative phosphorylation
ELOVL1,-0.093879608173028,0.0091704183790882,Oxidative phosphorylation
SUGP2,-0.0903317969673601,0.00576540253382086,Oxidative phosphorylation
LEMD3,-0.089661131394965,0.0107576394921389,Oxidative phosphorylation
C2orf49,-0.0880820109097754,0.00663304489877912,Oxidative phosphorylation
SPAG9,-0.0865074248634721,0.00424705791212744,Oxidative phosphorylation
CD151,-0.0825892936002282,0.00260879414150188,Oxidative phosphorylation
EFR3A,-0.074962972022224,0.00146379493312243,Oxidative phosphorylation
KIF18A,-0.0746673234398568,0.00354209261982829,Oxidative phosphorylation
RRAGC,-0.074096089582616,0.000496307393164112,Oxidative phosphorylation
ATRX,-0.0736785395045097,0.0109310751639553,Oxidative phosphorylation
DYNC1LI2,-0.0729416905826378,0.00220210480836613,Oxidative phosphorylation
MPHOSPH8,-0.0680286153664105,0.00504770742908262,Oxidative phosphorylation
COPRS,-0.0622154577096594,0.00867710396527589,Oxidative phosphorylation
FOSL2,-0.0591247089055011,0.0089006950628692,Oxidative phosphorylation
ATP6V0E1,-0.0585106844490387,0.00155802787161724,Oxidative phosphorylation
IGLON5,-0.0573110239879277,0.00615848502782866,Oxidative phosphorylation
RAB6A,-0.0525531820666891,0.000841620044566479,Oxidative phosphorylation
SSR3,-0.0515911534815568,0.0111572898060379,Oxidative phosphorylation
PLAGL2,-0.0509669624695255,0.0174928686831021,Oxidative phosphorylation
PROB1,-0.0482692127943936,0.0104803637992427,Oxidative phosphorylation
DNAJC9,-0.0481898973506395,0.0029096347523736,Oxidative phosphorylation
CHMP3,-0.0477896878002159,0.00174213179518086,Oxidative phosphorylation
ATP6AP2,-0.0458282300949306,0.00272421439727731,Oxidative phosphorylation
MAX,-0.0455230031026942,0.00777266276031836,Oxidative phosphorylation
ATP6V1D,-0.0420875862212672,0.00356650414066973,Oxidative phosphorylation
RBM10,-0.0419949442581604,0.00327376812151994,Oxidative phosphorylation
STAMBP,-0.0391983080812448,0.000516706539722318,Oxidative phosphorylation
NAA40,-0.0384777339686692,0.00202044486513482,Oxidative phosphorylation
TIPARP,-0.0350990969680086,0.00094216052455304,Oxidative phosphorylation
STUB1,-0.0350805904958083,0.00202807675068146,Oxidative phosphorylation
SKA1,-0.034825923177313,0.00468630331498767,Oxidative phosphorylation
RMND5A,-0.0345784020818245,0.0029857550703552,Oxidative phosphorylation
C1orf122,-0.0330500444820834,0.00545867350763492,Oxidative phosphorylation
LST1,-0.0319565336570921,0.00426234741532495,Oxidative phosphorylation
SUGP1,-0.0315752162269424,0.00803607504609719,Oxidative phosphorylation
GPSM3,-0.0312808814123841,0.00562508562943086,Oxidative phosphorylation
LEO1,-0.0307072161532959,0.00877861849259529,Oxidative phosphorylation
ARHGEF7,-0.0305919842868966,0.000524743548511004,Oxidative phosphorylation
TMEM165,-0.0291814847357603,0.000191500612318168,Oxidative phosphorylation
TEX44,-0.0277755894328131,0.0108759672990778,Oxidative phosphorylation
TMIGD1,-0.0276775496765161,0.00149996931100979,Oxidative phosphorylation
ITGB1,-0.0275954970944409,0.0048940432555547,Oxidative phosphorylation
SNAP23,-0.0269525361558989,0.000765053858754513,Oxidative phosphorylation
CFLAR,-0.0254397805883371,0.000145656470594491,Oxidative phosphorylation
SPTSSA,-0.025312909376321,0.000827334041100663,Oxidative phosphorylation
CDK6,-0.0248760343566649,0.000229246362912511,Oxidative phosphorylation
TSC1,-0.0247658900393807,0.0027043917545232,Oxidative phosphorylation
ALG6,-0.0247138949090487,0.00100436581738308,Oxidative phosphorylation
SIPA1,-0.0245888008523503,0.00233674702583672,Oxidative phosphorylation
MRGPRX3,-0.0242942118081505,0.00979818896453316,Oxidative phosphorylation
TXNRD1,-0.0241725932025925,0.00341519523156441,Oxidative phosphorylation
GAB4,-0.0240329372540788,0.00610601389281965,Oxidative phosphorylation
WDR44,-0.0238248655107567,0.0059952168505229,Oxidative phosphorylation
DNAJB13,-0.0235758200262103,0.00104527316933439,Oxidative phosphorylation
GPR179,-0.0217760562160658,0.00265189027640153,Oxidative phosphorylation
NSMCE1,-0.0207149344065855,0.00290682296406006,Oxidative phosphorylation
USB1,-0.0206850880989138,0.00801158398192006,Oxidative phosphorylation
SPNS1,-0.0205874569159509,0.000298649038498714,Oxidative phosphorylation
BIRC2,-0.0202250157086675,0.00522264343317442,Oxidative phosphorylation
RPN1,-0.0186961909527533,0.00304030355021716,Oxidative phosphorylation
ENO1,-0.0178122938402711,0.00190514482689523,Oxidative phosphorylation
LARP4,-0.0177588802412696,0.00650896240158493,Oxidative phosphorylation
RAPGEFL1,-0.017102164155175,0.00203919233513354,Oxidative phosphorylation
ATP6AP1,-0.0162467973978719,0.00380390334810504,Oxidative phosphorylation
GLUL,-0.014939741540882,0.00596587341694122,Oxidative phosphorylation
REM1,-0.0146955446387571,0.00106051943870697,Oxidative phosphorylation
PYROXD1,-0.0143192966832098,0.00411378069381283,Oxidative phosphorylation
RPP40,-0.0131714723632592,0.00644441045737044,Oxidative phosphorylation
SYS1,-0.0127957240177999,0.00275430812991872,Oxidative phosphorylation
NCKAP1,-0.0119002196762378,0.00191831793380603,Oxidative phosphorylation
TRAF2,-0.011665247907781,0.00191695977574313,Oxidative phosphorylation
ACOT12,-0.0098704174274025,0.00602944241342737,Oxidative phosphorylation
DDX19A,-0.00883957957296969,0.0026411216909836,Oxidative phosphorylation
PAK2,-0.00849526720472949,0.00429615017340028,Oxidative phosphorylation
BTF3,-0.00832168446601066,0.0030555124865515,Oxidative phosphorylation
SURF4,-0.007429424240087,0.00410439109215566,Oxidative phosphorylation
SFR1,-0.00714947827992081,0.00485301512832197,Oxidative phosphorylation
CSPG4,-0.00667395027092134,0.00609394291375803,Oxidative phosphorylation
CRYGD,-0.00600869263054549,0.00432893091474036,Oxidative phosphorylation
DDA1,-0.00599976083307905,0.00346184396056142,Oxidative phosphorylation
H2AC6,-0.00568811044058819,0.00527562459809494,Oxidative phosphorylation
CTDSPL2,-0.00564173672935546,0.00267786808566429,Oxidative phosphorylation
RNF41,-0.00562548095809496,0.00415422368141766,Oxidative phosphorylation
WNK1,-0.0055852365943714,0.00213549587100815,Oxidative phosphorylation
MYH9,-0.00543472273632743,0.00267173537781482,Oxidative phosphorylation
STARD7,-0.0053830316101226,0.002141801545826,Oxidative phosphorylation
FAAH,-0.00457898373065592,0.0016844824436266,Oxidative phosphorylation
UAP1,-0.00456563293590067,0.000384562742152248,Oxidative phosphorylation
ZFP36L1,-0.00450757904401263,0.00302929315007949,Oxidative phosphorylation
TRAF6,-0.0044544091426016,0.00259207218443801,Oxidative phosphorylation
ARF1,-0.00404660857593735,0.00164078802976855,Oxidative phosphorylation
NUP35,-0.00385401516837747,0.00130977565123748,Oxidative phosphorylation
DBF4B,-0.00364498415845723,0.000779462473434931,Oxidative phosphorylation
DDX39B,-0.00360675064450916,0.00309021182085191,Oxidative phosphorylation
TFDP1,-0.00326591258988647,0.0016671336681799,Oxidative phosphorylation
PARP1,-0.00264275291944119,0.00164212595731936,Oxidative phosphorylation
FANCI,-0.00206267545662862,0.00107610231279681,Oxidative phosphorylation
SEPSECS,-0.000802862170128337,0.000237031354918019,Oxidative phosphorylation
YME1L1,0.00042452944045552,0.00027196788719359,Oxidative phosphorylation
ATP5PD,0.00230771950712739,0.00186860318186484,Oxidative phosphorylation
MTCH2,0.00237916719424028,0.00164010196087759,Oxidative phosphorylation
CYP27B1,0.00263513958306166,0.000407897443788429,Oxidative phosphorylation
PPP6C,0.00264851966300168,0.00205465143073388,Oxidative phosphorylation
SRFBP1,0.00286065739129342,0.000804525835086087,Oxidative phosphorylation
H2AC20,0.00287173822087614,0.00195012387386313,Oxidative phosphorylation
PRRC2C,0.00336417733468377,0.00235702703102309,Oxidative phosphorylation
MICOS10,0.00368396938773699,0.0024083801516725,Oxidative phosphorylation
LEMD2,0.00387247135873388,0.00295236190082988,Oxidative phosphorylation
TRNAU1AP,0.0039596279159151,0.00255881634353222,Oxidative phosphorylation
PTP4A1,0.00407740893310557,0.00294530251591176,Oxidative phosphorylation
NDUFC2,0.00469422129818687,0.000359705624704916,Oxidative phosphorylation
MAPK1,0.00489470365435106,0.00208913879398108,Oxidative phosphorylation
SSH2,0.00553424270068468,0.00374257014818171,Oxidative phosphorylation
FAM98C,0.00553870292084543,0.00443508230131681,Oxidative phosphorylation
SUPT20H,0.00579671852238481,0.0018674556174555,Oxidative phosphorylation
HEATR6,0.00631990605604505,0.00293571793949555,Oxidative phosphorylation
TPSAB1,0.006679391342067,0.00316908038353294,Oxidative phosphorylation
SOWAHC,0.0070129106535527,0.00209132137794265,Oxidative phosphorylation
PPP6R3,0.00769491380649861,0.00384965679320082,Oxidative phosphorylation
DLST,0.00799780365534765,0.00164494073596138,Oxidative phosphorylation
COX7C,0.00824298584747415,0.000503427420038423,Oxidative phosphorylation
DNAJA1,0.00850621656781571,0.00376264812842641,Oxidative phosphorylation
SDHB,0.00883130311525394,0.00177469233197745,Oxidative phosphorylation
MRM2,0.00906021669533431,0.000683428622014399,Oxidative phosphorylation
GLI1,0.0109412137774447,0.00614001412708666,Oxidative phosphorylation
TBRG4,0.0112813302575425,0.000693034211794623,Oxidative phosphorylation
TAFAZZIN,0.0114236332498396,0.000593992455010392,Oxidative phosphorylation
ATXN7L3,0.0115324707529841,0.00251430191298084,Oxidative phosphorylation
SOX2,0.0123495676003948,0.00356438807903892,Oxidative phosphorylation
MRPL58,0.0124834985673244,0.000308304422311325,Oxidative phosphorylation
SMG7,0.0127281104457164,0.00452149401053874,Oxidative phosphorylation
ATXN2L,0.0131637395517222,0.00419032760936702,Oxidative phosphorylation
NUP188,0.0135347572080956,0.00607664762460339,Oxidative phosphorylation
DAZAP1,0.0141160360193094,0.00633770898948088,Oxidative phosphorylation
